product_code,title,voyage_type,route_description,season,contentful_id,category,all_codes
FR2324ESCHR2,The Coastal Express - In search of Northern Lights (FR Group Tour),Classic,Bergen – Kirkenes – Bergen,Winter; Spring,21524,Coastal Express - flights and tours,FR2324ESCHR2|FR2425ESCHR2
FR2425ESCHR1,FR Bergen - Kirkenes avec accompagnateur français,Classic,,Winter; Autumn; Summer; Spring,21503,Coastal Express - flights and tours,FR2425ESCHR1|FR2526ESCHR1|FR2627ESCHR1
FR2425ESCHR2,FR Bergen - Kirkenes - Bergen avec accompagnateur français,Classic,,Spring; Summer; Autumn; Winter,21505,Coastal Express - flights and tours,FR2425ESCHR2
FR2425ESCHR5,Kirkenes - Bergen - Oslo with French Guide,Classic,,Winter; Spring; Summer; Autumn,6CVIBfdvXJWGcXIMdYYaCq,Coastal Express - flights and tours,FR2425ESCHR5|FR2425ESCHR5A|FR2526ESCHR5|FR2526ESCHR5A|FR2627ESCHR5|FR2627ESCHR5A
FR2526ESCHR2,FR Bergen - Kirkenes - Bergen avec accompagnateur français,Classic,,Autumn; Summer; Spring,4wzQdUeu5i0GRDvi06MwvY,Coastal Express - flights and tours,FR2526ESCHR2
FR2526ESCHR2W,Bergen - Kirkenes - Bergen avec accompagnateur français,Classic,Bergen – Kirkenes – Bergen,Winter; Autumn,5YXcYjUBcSOToCBZmRXrs6,Coastal Express - flights and tours,FR2526ESCHR2W|FR2627ESCHR2W
FR2627ESCHR3,FR Bergen - Kirkenes - Trondheim avec accompagnateur français,Classic,,Autumn; Summer; Spring; Winter,5vWEzMqYZg60dGoNmGN9vA,Coastal Express - flights and tours,FR2627ESCHR3
NOICOBT24,The North Cape Express – Half Voyage,Classic,Bergen – Honningsvåg – Tromsø,Autumn; Winter,108933,The North Cape Express,NOICOBT24
NOICOBTO24,The North Cape Line - From Bergen - Nordics (2024/25),Classic,Bergen – Honningsvåg – Oslo,Winter; Autumn,115376,The North Cape Express,NOICOBTO24
NOICOOT24,Visit Tromsø and the Arctic Circle (2023/24),Classic,Oslo – Tromsø,Winter; Spring,108815,The North Cape Express,NOICOOT24
NOICOOTB24,The North Cape Express - Full Voyage from Oslo 2024-2025,Classic,Oslo – Honningsvåg – Bergen,Autumn; Winter,115382,The North Cape Express,NOICOOTB24
NOICOTB24,North Cape Line,Classic,Tromsø – Honningsvåg – Bergen,Autumn; Winter,108753,The North Cape Express,NOICOTB24
NOICOTO24,The North Cape Line - Arctic Capital to Norway's Capital (Nordics),Classic,Tromsø – Oslo,Winter; Autumn,108873,The North Cape Express,NOICOTO24
,Arctic Capital to the Norwegian Border,Short Voyage,Tromsø - Honningsvåg - Båtsfjord - Kirkenes,Winter; Spring; Autumn; Summer,56453,Coastal Express - short voyages,
,Arctic Capital to the Viking Capital,Short Voyage,Tromsø - Brønnøysund - Trondheim,Winter; Spring; Summer; Autumn,23890,Coastal Express - short voyages,
,Arctic Capital to the West Fjords,Short Voyage,Tromsø - Brønnøysund - Trondheim - Bergen,Winter; Spring; Summer; Autumn,56791,Coastal Express - short voyages,
,Astronomy Voyage,Classic,Bergen - Kirkenes - Bergen,Winter; Spring; Autumn,20950,Coastal Express - flights and tours,
,Lofoten to the Norwegian Border,Short Voyage,Svolvær - Tromsø - Honningsvåg - Kirkenes,Winter; Spring; Summer; Autumn,56802,Coastal Express - short voyages,
,Lofoten to the West Fjords,Short Voyage,Svolvær - Brønnøysund - Trondheim - Bergen,Winter; Spring; Summer; Autumn,56429,Coastal Express - short voyages,
,Norwegian Border to Lofoten,Short Voyage,Kirkenes - Hammerfest - Svolvær,Winter; Spring; Summer; Autumn,56709,Coastal Express - short voyages,
,Norwegian Border to the Arctic Capital,Short Voyage,Kirkenes - Hammerfest - Tromsø,Winter; Spring; Summer; Autumn,23888,Coastal Express - short voyages,
,The Coastal Express,Classic,Bergen – Kirkenes – Bergen,Autumn; Summer; Winter; Spring,20940,The Coastal Express,
,The Coastal Express - Northern Lights,Classic,Bergen - Kirkenes - Bergen,Winter; Spring; Autumn,1wqrRGxIWLZ3UhburH6TgD,Coastal Express - flights and tours,
,The Coastal Express - Northern Lights,Classic,Bergen - Kirkenes - Bergen,Winter; Spring; Autumn,45964,Coastal Express - flights and tours,
,The Coastal Express incl. Halfboard,Classic,Bergen – Kirkenes – Bergen,Winter; Autumn; Summer; Spring,2S3aSUSSm0q5cs7t7v0rGX,The Coastal Express,
,The Coastal Express – North,Classic,Bergen – Kirkenes,Spring; Winter; Summer; Autumn,20941,The Coastal Express,
,The Coastal Express – South,Classic,Kirkenes – Bergen,Winter; Spring; Summer; Autumn,20942,The Coastal Express,
,The Coastal Express – To the Viking Capital,Classic,Bergen – Kirkenes – Trondheim,Winter; Spring; Summer; Autumn,20943,The Coastal Express,
,The Coastal Express – To the Viking Capital  - Incl. Flight and Culinary Experience Package,Classic,Bergen – Kirkenes – Trondheim,Summer; Spring; Autumn,1gwvoNvwsWRqWtNYHakZWt,The Coastal Express,
,Viking Capital to the Arctic Capital,Short Voyage,Trondheim - Bodø - Tromsø,Winter; Spring; Summer; Autumn,96433,Coastal Express - short voyages,
,Viking Capital to the West Fjords,Short Voyage,Trondheim - Kristiansund - Bergen,Winter; Spring; Summer; Autumn,23892,Coastal Express - short voyages,
,West Fjords to Lofoten,Short Voyage,Bergen - Ålesund - Trondheim - Svolvær,Winter; Summer; Autumn; Spring,56568,Coastal Express - short voyages,
,West Fjords to the Arctic Capital,Short Voyage,Bergen - Ålesund - Trondheim - Bodø - Tromsø,Winter; Spring; Summer; Autumn,56597,Coastal Express - short voyages,
,West Fjords to the Viking Capital,Short Voyage,Bergen - Ålesund - Trondheim,Winter; Spring; Summer; Autumn,31837,Coastal Express - short voyages,
